sd_s38,sd_s1000,sd_theta,sd_gamma,sd_beta,fd_totalEnergy,E_CIC,E_ML,err_CIC,err_ML
9.6,10.05,34.65,0.01,-2.16,1.478,1.815056338777507,1.8698161925238703,0.22804894369249457,0.2650989123977472
17.85,18.3,33.73,0.0,-2.21,4.2,3.3851176223883144,3.3115314697437106,-0.19401961371706805,-0.2115401262514975
6.08,5.26,44.81,0.07,-1.94,1.322,1.1469720494907125,1.1050468655115606,-0.13239633170142778,-0.1641097840305896
14.22,9.18,55.07,0.06,-1.73,2.519,2.6937203365541813,2.6334338186245523,0.06936099108939307,0.04542827257822634
10.14,11.31,28.17,0.03,-2.24,2.0,1.917666156123956,2.004049249827399,-0.04116692193802196,0.00202462491369948
28.58,16.32,57.02,0.02,-1.73,7.052,5.432465695890187,5.3429062898701165,-0.22965602724189063,-0.24235588629181554
6.59,7.32,27.55,0.04,-2.22,1.364,1.2436714403843883,1.2502164543052139,-0.0882174190730292,-0.08341902177037112
7.63,6.79,44.12,0.05,-1.97,1.001,1.4409730314125284,1.4455657818363499,0.43953349791461394,0.4441216601761739
7.98,7.91,33.67,0.01,-2.15,1.623,1.5074031429923946,1.4510621814934879,-0.07122418792828426,-0.10593827387955153
5.02,4.71,40.67,0.02,-2.01,1.232,0.946120149024846,0.9371690591368461,-0.2320453335837289,-0.23931082862268982
12.75,13.92,26.79,0.03,-2.26,2.55,2.413967695302926,2.423457581194967,-0.05334600184198979,-0.049624477962758054
6.09,5.49,44.06,0.06,-1.96,0.886,1.1488677453484144,1.1524384717638478,0.2966904575038537,0.30072062275829325
6.82,7.28,28.3,0.04,-2.21,1.949,1.287293118159213,1.2273952431477837,-0.3395109706725433,-0.37024358997035217
3.88,3.53,42.61,0.04,-1.95,0.677,0.7303440062586741,0.7478766044254566,0.07879469166716999,0.10469217788102882
4.62,4.0,44.51,0.06,-1.93,0.638,0.8703787514919015,0.833750865277002,0.36423001801238475,0.3068195380517273
9.83,10.68,25.61,0.03,-2.26,2.218,1.8587571604849045,1.8602151256668444,-0.16196701511050293,-0.1613096818454263
3.53,3.23,44.0,0.06,-1.92,0.774,0.6641554831891842,0.717163565422941,-0.14191798037573108,-0.0734320860168721
10.09,7.2,52.44,0.11,-1.78,1.249,1.908164102621096,1.8794390326534935,0.5277534848847846,0.5047550301469123
12.95,10.99,45.84,0.08,-1.97,2.79,2.4520203963370095,2.4483763543440578,-0.12113964288996075,-0.1224457511311621
4.54,4.87,30.17,0.04,-2.17,0.852,0.8552342331342975,0.8436150915724132,0.003796048279691893,-0.009841441816416394
10.89,9.99,44.66,0.06,-1.99,1.89,2.0602238348844275,2.0893395621477673,0.09006552110287175,0.10547066780305153
15.68,13.45,45.73,0.07,-1.99,2.77,2.9717101347086263,3.0618122458047075,0.07281954321611057,0.1053473811569341
6.85,7.62,25.7,0.04,-2.24,0.712,1.292983437643084,1.3133674721036965,0.8159879742178147,0.8446172361006975
4.66,4.32,43.26,0.05,-1.95,0.674,0.8779514927808855,0.8960125119165199,0.3025986539775748,0.3293954182737683
3.73,3.81,20.8,0.07,-2.24,0.938,0.7019737609461145,0.677644027271771,-0.2516271205265303,-0.2775650029085597
7.09,7.75,27.88,0.04,-2.22,1.393,1.3385103350621692,1.3649613042349389,-0.039116773106841925,-0.020128281238378412
9.21,8.82,38.25,0.0,-2.09,2.507,1.7409667081831792,1.6559293168528246,-0.3055577550126928,-0.3394777355991924
7.23,7.2,40.27,0.01,-2.05,1.136,1.3650711877174557,1.4400206354668716,0.20164717228649282,0.26762379882647164
13.85,15.02,29.11,0.02,-2.25,2.272,2.623292486088312,2.679571677103277,0.1546181716937994,0.1793889423870059
4.69,4.89,33.46,0.02,-2.13,0.891,0.8836312574129747,0.9109434972828501,-0.008270193700365159,0.022383274167059545
10.28,11.15,23.2,0.04,-2.28,2.11,1.9442731207962223,1.8668754447154245,-0.0785435446463401,-0.11522490771780822
8.02,6.08,49.7,0.13,-1.84,1.238,1.5149960746135036,1.503375598569248,0.22374480986551182,0.21435831871506308
5.57,6.14,31.24,0.03,-2.17,0.663,1.0503123450001164,1.0975981982844119,0.5841815158372795,0.6555025615149499
4.58,4.66,36.53,0.01,-2.08,0.838,0.862806330681283,0.86707952366657,0.02960182658864322,0.03470110222741059
35.5,35.89,37.65,-0.01,-2.2,7.391,6.754969701470022,6.937677307472749,-0.0860547014652927,-0.061334419229772785
11.69,7.1,56.78,0.03,-1.65,1.911,2.212338227958265,2.0982303863619167,0.15768614754487967,0.09797508443847026
8.71,9.72,30.09,0.02,-2.21,1.272,1.646002531437825,1.7124852464580385,0.29402714735678065,0.3462934327500302
7.56,6.1,46.41,0.1,-1.91,1.353,1.4276887750503704,1.3916824142697573,0.05520234667433142,0.02859010662953235
5.98,6.54,27.03,0.04,-2.22,1.199,1.1280159332826785,1.142075431286417,-0.0592027245348804,-0.047476704515081805
21.71,23.38,28.74,0.01,-2.28,2.999,4.1210791187687414,4.066014268465824,0.3741510899528981,0.35579001949510625
5.55,5.79,36.89,0.01,-2.09,0.891,1.046522625070379,1.0873974500641241,0.1745484007523894,0.22042362521226053
8.44,5.08,57.19,0.02,-1.61,1.489,1.5947328615435221,1.6420908542873325,0.0710093092971941,0.10281454283904122
8.12,7.71,40.43,0.01,-2.05,1.816,1.5339792115320494,1.5176480426243464,-0.15529779100658075,-0.16429072542712206
4.88,4.9,36.21,0.01,-2.09,0.72,0.9196071783823165,0.8955514036357556,0.27723219219766193,0.24382139393854946
7.84,6.31,47.01,0.1,-1.9,2.133,1.4808293534869343,1.4286359111383395,-0.30575276442244054,-0.330222263882635
11.84,12.6,32.2,0.01,-2.2,2.343,2.240865450773675,2.2465888256044377,-0.043591356904107904,-0.04114860196140087
6.55,7.2,27.56,0.04,-2.22,1.058,1.236085814092174,1.231433951649416,0.16832307570148766,0.16392623029245357
5.61,6.0,24.92,0.05,-2.23,0.995,1.0578919841670475,1.0335036172379013,0.06320802428849001,0.0386971027516596
7.2,5.09,52.89,0.11,-1.74,1.126,1.359379363119938,1.3523479663900295,0.20726408802836424,0.20101950833928034
18.62,13.86,50.46,0.11,-1.89,3.756,3.5318713265958253,3.384253736175317,-0.05967217076788459,-0.09897397865406894
8.17,8.67,35.53,0.01,-2.14,1.912,1.5434712094111136,1.633572142498609,-0.19274518336238824,-0.1456212643835727
12.44,11.51,41.68,0.02,-2.06,2.178,2.354991791471482,2.2748163649996473,0.08126344879315071,0.04445195821838724
6.87,7.36,25.13,0.04,-2.24,1.381,1.2967770516740047,1.2559788436916586,-0.06098692854887423,-0.09052943975984173
23.37,24.48,30.51,0.01,-2.26,5.694,4.437784939844022,4.437744415137162,-0.22062083950754796,-0.22062795659691564
7.55,5.94,49.26,0.13,-1.85,1.645,1.4257910730922616,1.4182754456956492,-0.13325770632689266,-0.13782647678076035
